date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
Feb 25-27,Lillehammer Olympics,"$42,176,741",+344.3%,"$53,606,332",+464.7%,19,Ace Ventura: Pet Detective,8
Feb 18-21,Lillehammer OlympicsPresidents' Day wknd,"$67,655,829",-,"$80,436,192",-,19,On Deadly Ground,7
Feb 18-20,Lillehammer Olympics,"$9,493,540",-80.4%,"$9,493,540",-84%,3,Reality Bites,7
Feb 11-13,Lillehammer Olympics,"$48,342,371",-9.1%,"$59,365,159",-11.5%,22,Ace Ventura: Pet Detective,6
Feb 4-6,,"$53,164,721",+25.3%,"$67,050,549",+28.8%,26,Ace Ventura: Pet Detective,5
Jan 28-30,,"$42,436,006",-18.6%,"$52,069,501",-16.7%,22,Mrs. Doubtfire,4
Jan 21-23,,"$52,151,876","+1,296.9%","$62,519,378","+1,574.6%",20,Philadelphia,3
Jan 14-16,,"$3,733,339",-93.1%,"$3,733,339",-94%,3,Schindler's List,2
Jan 14-17,MLK wknd,"$65,313,589",-,"$78,211,652",-,25,Philadelphia,2
Jan 7-9,,"$54,324,728",-24.3%,"$61,908,417",-24.2%,21,Mrs. Doubtfire,1
