date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
Apr 4-6,,"$66,303,706",-5.3%,"$75,282,552",-9.3%,22,Liar Liar,14
Mar 28-30,,"$69,977,546",-5.8%,"$82,961,369",-4.6%,27,Liar Liar,13
Mar 28-31,Easter wknd,"$30,951,657",-,"$30,951,657",-,3,Liar Liar,13
Mar 21-23,,"$74,303,842",+23.3%,"$86,994,515",+13.2%,28,Liar Liar,12
Mar 14-16,,"$60,250,611",-4.3%,"$76,842,273",-3.8%,27,Star Wars: Episode VI - Return of the Jedi1997 Special Edition,11
Mar 7-9,,"$62,954,749",-0.7%,"$79,838,123",-0.4%,27,Private Parts,10
Feb 28-Mar 2,,"$63,409,740",-14.2%,"$80,163,325",-8.5%,29,Star Wars: Episode V - The Empire Strikes Back1997 Special Edition,9
Feb 21-23,,"$73,903,142",+55.4%,"$87,616,040",+84.3%,27,Star Wars: Episode V - The Empire Strikes Back1997 Special Edition,8
Feb 14-16,,"$47,543,029",-27.6%,"$47,543,029",-41.1%,5,Star Wars: Episode IV - A New Hope1997 Special Edition,7
Feb 14-17,Presidents' Day wknd,"$97,349,531",-,"$116,551,323",-,29,Star Wars: Episode IV - A New Hope1997 Special Edition,7
Feb 7-9,,"$65,669,096",-6.4%,"$80,670,394",-9.9%,28,Star Wars: Episode IV - A New Hope1997 Special Edition,6
Jan 31-Feb 2,,"$70,185,950",+55.7%,"$89,532,648",+46.1%,28,Star Wars: Episode IV - A New Hope1997 Special Edition,5
Jan 24-26,,"$45,079,346",+219.6%,"$61,284,905",+334.5%,26,Jerry Maguire,4
Jan 17-20,MLK wknd,"$72,905,249",-,"$93,618,559",-,21,Beverly Hills Ninja,3
Jan 17-19,,"$14,104,613",-77.4%,"$14,104,613",-82.1%,2,Evita,3
Jan 10-12,,"$62,315,354",-11.2%,"$79,005,008",-11.4%,22,The Relic,2
Jan 3-5,,"$70,213,938",-22%,"$89,180,504",-18.6%,24,Michael,1
